source_file,benv_id,raw_comune,raw_provincia,raw_regione,matched_level,matched_label,lat,lon,note
agalassia_contagiosa_2026_italia.xlsx,83941,BARI SARDO,NU,SARDEGNA,province,BARI SARDO,40.32020,9.32640,municipality centroid unavailable; coordinates set to province capital for map display
agalassia_contagiosa_2026_italia.xlsx,83237,GIAVE,SS,SARDEGNA,province,GIAVE,40.72590,8.55570,municipality centroid unavailable; coordinates set to province capital for map display
agalassia_contagiosa_2026_italia.xlsx,82873,URI,SS,SARDEGNA,province,URI,40.72590,8.55570,municipality centroid unavailable; coordinates set to province capital for map display
agalassia_contagiosa_2026_italia.xlsx,85192,ITTIRI,SS,SARDEGNA,province,ITTIRI,40.72590,8.55570,municipality centroid unavailable; coordinates set to province capital for map display
agalassia_contagiosa_2026_italia.xlsx,83512,GIAVE,SS,SARDEGNA,province,GIAVE,40.72590,8.55570,municipality centroid unavailable; coordinates set to province capital for map display
anemia_infettiva_2026_italia.xlsx,85161,CAPRIE,TO,PIEMONTE,province,CAPRIE,45.07030,7.68690,municipality centroid unavailable; coordinates set to province capital for map display
anemia_infettiva_2026_italia.xlsx,85285,FISCIANO,SA,CAMPANIA,province,FISCIANO,40.68240,14.76810,municipality centroid unavailable; coordinates set to province capital for map display
anemia_infettiva_2026_italia.xlsx,83811,CAPRIE,TO,PIEMONTE,province,CAPRIE,45.07030,7.68690,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,83631,RENDE,CS,CALABRIA,province,RENDE,39.29830,16.25370,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,83660,BASCIANO,TE,ABRUZZO,province,BASCIANO,42.66120,13.69900,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,83662,CAMPLI,TE,ABRUZZO,province,CAMPLI,42.66120,13.69900,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,83361,ALSENO,PC,EMILIA ROMAGNA,province,ALSENO,45.05260,9.69340,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,84201,FLAIBANO,UD,FRIULI VENEZIA GIULIA,province,FLAIBANO,46.07110,13.23460,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,84763,CASTROVILLARI,CS,CALABRIA,province,CASTROVILLARI,39.29830,16.25370,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,84844,TRIUGGIO,MB,LOMBARDIA,province,TRIUGGIO,45.58450,9.27440,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,84852,VALVESTINO,BS,LOMBARDIA,province,VALVESTINO,45.54160,10.21180,municipality centroid unavailable; coordinates set to province capital for map display
bluetongue_2026_italia.xlsx,83380,BORGOSESIA,VC,PIEMONTE,province,BORGOSESIA,45.32310,8.42390,municipality centroid unavailable; coordinates set to province capital for map display
