source_file,status,disease_it,records_imported,records_deduplicated,species_groups,regions,geocoding_municipality,geocoding_province,geocoding_region,geocoding_country,error
aethina_tumida_2025_italia.xlsx,success,Aethina tumida,16,,bees,Calabria; Sicilia,0,16,0,0,
aethina_tumida_2026_italia.xlsx,success,Aethina tumida,2,,bees,Lazio; Sicilia,0,2,0,0,
agalassia_contagiosa_2025_italia.xlsx,success,Agalassia Contagiosa,21,,caprine; ovine,Sardegna,0,21,0,0,
agalassia_contagiosa_2026_italia.xlsx,success,Agalassia Contagiosa,5,,ovine,Sardegna,0,5,0,0,
anemia_infettiva_2025_italia.xlsx,success,Anemia Infettiva,11,,unknown,Campania; Lazio; Lombardia; Veneto,0,11,0,0,
anemia_infettiva_2026_italia.xlsx,success,Anemia Infettiva,7,,ovine,Sardegna,0,7,0,0,
bluetongue_2025_italia.xlsx,success,Bluetongue,3530,,bovine; caprine; ovine; unknown,Abruzzo; Basilicata; Calabria; Campania; Emilia Romagna; Friuli Venezia Giulia; Lazio; Liguria; Lombardia; Marche; Molise; Piemonte; Puglia; Sardegna; Sicilia; Toscana; Trentino Alto Adige; Umbria; Valle D'Aosta; Veneto,4,3509,17,0,
bluetongue_2026_italia.xlsx,success,Bluetongue,159,,bovine; caprine; ovine,Abruzzo; Basilicata; Calabria; Campania; Emilia Romagna; Friuli Venezia Giulia; Lazio; Lombardia; Marche; Molise; Piemonte; Puglia; Sardegna; Sicilia; Toscana; Trentino Alto Adige,0,159,0,0,
brucellosi_2025_italia.xlsx,success,Brucellosi,96,,bovine; caprine; ovine; swine,Campania; Emilia Romagna; Puglia; Sicilia,0,96,0,0,
brucellosi_2026_italia.xlsx,success,Brucellosi,31,,bovine; caprine; ovine; wildlife,Calabria; Campania; Puglia; Sicilia; Toscana,0,31,0,0,
carbonchio_ematico_2026_italia.xlsx,success,Carbonchio Ematico,2,,caprine; ovine,Campania,0,2,0,0,
dermatite_nodulare_contagiosa_2025_italia.xlsx,success,Dermatite Nodulare Contagiosa,80,,bovine,Lombardia; Sardegna,0,80,0,0,
dermatite_nodulare_contagiosa_2026_italia.xlsx,success,Dermatite Nodulare Contagiosa,10,,bovine,Sardegna,0,10,0,0,
febbreQ_2025_italia.xlsx,success,Febbreq,12,,bovine; caprine; ovine,Lazio; Lombardia; Piemonte; Puglia; Sardegna; Toscana; Veneto,0,12,0,0,
febbreQ_2026_italia.xlsx,success,Febbreq,12,,bovine; caprine; ovine,Abruzzo; Campania; Lazio; Lombardia; Puglia; Sardegna,0,12,0,0,
idatidosi_2025_italia.xlsx,success,Idatidosi,87,,bovine; ovine,Abruzzo; Friuli Venezia Giulia; Lazio; Puglia; Sardegna,0,87,0,0,
idatidosi_2026_italia.xlsx,success,Idatidosi,210,,bovine; caprine; ovine; unknown,Abruzzo; Friuli Venezia Giulia; Lazio; Sardegna,0,210,0,0,
influenza_aviaria_pollame_2025_italia.xlsx,success,Influenza aviaria ad alta patogenicita,114,,cat; unknown; wildlife,Emilia Romagna; Friuli Venezia Giulia; Lombardia; Veneto,0,114,0,0,
influenza_aviaria_pollame_2026_italia.xlsx,success,Influenza aviaria ad alta patogenicita,30,,unknown,Emilia Romagna; Lombardia; Toscana; Umbria; Veneto,0,30,0,0,
influenza_aviaria_selvaggina_2025_italia.xlsx,success,,0,,,,0,114,0,0,
influenza_aviaria_selvaggina_2026_italia.xlsx,success,Influenza aviaria ad alta patogenicita,9,,bees; unknown,Emilia Romagna; Friuli Venezia Giulia; Lombardia; Veneto,0,9,0,0,
koi_herpesvirus_disease_2026_italia.xlsx,success,Koi Herpesvirus Disease,1,,unknown,Liguria,0,1,0,0,
laringo-tracheite_infettiva_2026_italia.xlsx,success,Laringo Tracheite Infettiva,1,,unknown,Trentino Alto Adige,0,1,0,0,
leishmaniosi_2026_italia.xlsx,success,Leishmaniosi,24,,dog,Lombardia; Toscana; Veneto,20,4,0,0,
leptospirosi_2025_italia.xlsx,success,Leptospirosi,31,,bovine; caprine; dog; swine; unknown,Friuli Venezia Giulia; Lazio; Lombardia; Marche; Puglia; Umbria; Veneto,1,30,0,0,
leptospirosi_2026_italia.xlsx,success,Leptospirosi,20,,bovine; dog; swine; unknown,Abruzzo; Friuli Venezia Giulia; Lazio; Lombardia; Sardegna; Toscana; Veneto,2,18,0,0,
leucosi_bovina_enzootica_2025_italia.xlsx,success,Leucosi bovina enzootica,6,,bovine,Campania; Lazio; Puglia,0,6,0,0,
leucosi_bovina_enzootica_2026_italia.xlsx,success,Leucosi bovina enzootica,3,,bovine,Marche; Puglia,0,3,0,0,
mal_rossino_2025_italia.xlsx,success,Mal Rossino,3,,swine,Friuli Venezia Giulia; Veneto,0,3,0,0,
