external_id,location,region,province,province_code,match,alias_used,old_lat,old_lon,new_lat,new_lon,distance_shift_km,changed
BENV-2026-AETHINA-TUMIDA-84991-APE,GAETA,Lazio,Latina,LT,municipality_region,false,41.46760,12.90370,41.218312,13.562810,61.611,true
BENV-2026-AETHINA-TUMIDA-84270-APE,NOVARA DI SICILIA,Sicilia,Messina,ME,municipality_region,false,38.19380,15.55400,38.016082,15.131830,41.892,true
BENV-2026-AGALASSIA-CONTAGIOSA-83941-OVINO,BARI SARDO,Sardegna,Nuoro,NU,municipality_region,false,40.32020,9.32640,39.842053,9.644147,59.646,true
BENV-2026-AGALASSIA-CONTAGIOSA-83237-OVINO,GIAVE,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.451958,8.752221,34.688,true
BENV-2026-AGALASSIA-CONTAGIOSA-82873-OVINO,URI,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.639459,8.485412,11.292,true
BENV-2026-AGALASSIA-CONTAGIOSA-85192-OVINO,ITTIRI,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.593046,8.568353,14.811,true
BENV-2026-AGALASSIA-CONTAGIOSA-83512-OVINO,GIAVE,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.451958,8.752221,34.688,true
BENV-2026-ANEMIA-INFETTIVA-83941-OVINO,BARI SARDO,Sardegna,Nuoro,NU,municipality_region,false,40.32020,9.32640,39.842053,9.644147,59.646,true
BENV-2026-ANEMIA-INFETTIVA-82873-OVINO,URI,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.639459,8.485412,11.292,true
BENV-2026-ANEMIA-INFETTIVA-85618-OVINO,URI,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.639459,8.485412,11.292,true
BENV-2026-ANEMIA-INFETTIVA-83237-OVINO,GIAVE,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.451958,8.752221,34.688,true
BENV-2026-ANEMIA-INFETTIVA-85553-OVINO,BARI SARDO,Sardegna,Nuoro,NU,municipality_region,false,40.32020,9.32640,39.842053,9.644147,59.646,true
BENV-2026-ANEMIA-INFETTIVA-85192-OVINO,ITTIRI,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.593046,8.568353,14.811,true
BENV-2026-ANEMIA-INFETTIVA-83512-OVINO,GIAVE,Sardegna,Sassari,SS,municipality_region,false,40.72590,8.55570,40.451958,8.752221,34.688,true
BENV-2026-BLUETONGUE-83631-BOVINO,RENDE,Calabria,Cosenza,CS,municipality_region,false,39.29830,16.25370,39.331993,16.184383,7.042,true
