section,name,status,critical,returncode,message
step,benv_build,success,True,0,
step,benv_validate,success,True,0,
step,vectors_invasive_local,success,False,0,
step,vectors_extended_local,success,False,0,
step,parasites_from_benv,success,False,0,
step,territorial_merge,success,True,0,
step,territorial_validate,success,True,0,
step,territorial_status_report,success,False,0,
step,diseases_validate_public_html,success,True,0,
step,data_sources_status,success,False,0,
official_events,adis,value,,,474
official_events,wahis,value,,,2
official_events,izs_benv,value,,,1615
territorial_layers,total,value,,,339
territorial_layers,mosquito_alert_layers,value,,,0
territorial_layers,vectornet_gbif_layers,value,,,34
territorial_layers,extended_vector_layers,value,,,73
territorial_layers,benv_parasite_layers,value,,,205
territorial_layers,west_nile_surveillance,value,,,27
territorial_layers,esccap_parasites,value,,,0
catalogs,diseases_public_html,value,,,42
catalogs,diseases_data,value,,,
reports,data_sources_status_json,value,,,True
reports,territorial_status_report_json,value,,,True
reports,benv_import_report_csv,value,,,True
reports,benv_companion_report_csv,value,,,True
