external_id,source,disease,category,data_type,evidence_count,period_start,period_end,country,region,province,location,lat,lon,radius_km,url_source,notes
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85709-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-06-21,2026-06-21,Italy,Toscana,,GAVORRANO,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85709; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-06-21; data conferma: 2026-06-21; data estinzione: 2026-06-21; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: province; municipality centroid unavailable; coordinates set to province capital for map display.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85203-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-06-19,2026-06-19,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85203; tipo focolaio: POSITIVITA' DIAGNOSTICA; stato sanitario: E; provincia: GR; data sospetto: 2026-06-19; data conferma: 2026-06-19; data estinzione: 2026-06-19; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85169-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-06-16,2026-06-16,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85169; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-06-16; data conferma: 2026-06-16; data estinzione: 2026-06-16; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85202-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-06-19,2026-06-19,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85202; tipo focolaio: POSITIVITA' DIAGNOSTICA; stato sanitario: E; provincia: GR; data sospetto: 2026-06-19; data conferma: 2026-06-19; data estinzione: 2026-06-19; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85658-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-07-15,2026-07-15,Italy,Toscana,,SCANSANO,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85658; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-07-15; data conferma: 2026-07-15; data estinzione: 2026-07-16; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: province; municipality centroid unavailable; coordinates set to province capital for map display.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85171-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-06-16,2026-06-16,Italy,Toscana,,Campagnatico,42.88260,11.27310,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85171; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-06-16; data conferma: 2026-06-16; data estinzione: 2026-06-16; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85655-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-07-15,2026-07-15,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85655; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-06-01; data conferma: 2026-07-15; data estinzione: 2026-07-16; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85823-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-07-10,2026-07-10,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85823; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-05-29; data conferma: 2026-07-10; data estinzione: 2026-07-24; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85824-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-07-22,2026-07-22,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85824; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-07-16; data conferma: 2026-07-22; data estinzione: 2026-07-24; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
BENV-PARASITE-BENV-2026-LEISHMANIOSI-85115-CANE,IZS_BENV,Leishmania infantum,parasites,official_event_context,1,2026-06-16,2026-06-16,Italy,Toscana,,Grosseto,42.76350,11.11240,10,https://www.izs.it/BENV_NEW/datiemappe.html,"Official BENV/IZS table export; disease filter: Leishmaniosi; original BENV ID 85115; tipo focolaio: FOCOLAIO CLINICO; stato sanitario: E; provincia: GR; data sospetto: 2026-06-16; data conferma: 2026-06-16; data estinzione: 2026-06-16; stato evento: Estinto; is_active: false; sierotipo: nan; geocoding level: municipality; coordinates approximated at municipality centroid.; derived from official BENV/IZS parasitic disease event; territorial context layer, not standalone prevalence estimate"
