external_id,source,disease,category,data_type,evidence_count,period_start,period_end,country,region,province,location,lat,lon,radius_km,url_source,notes
WNV-2026-IT-CE-001,ECDC_CNS_WNV,West Nile virus,west_nile,human_case_area,1,2026-06-10,2026-07-16,Italy,Campania,Caserta,Provincia di Caserta,41.203483,14.117058,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"ECDC/CNS WNV 2026 affected area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Caserta (Caserta); previous coordinates 41.0747,14.3324; match=province_centroid."
WNV-2026-IT-FI-001,ECDC_CNS_WNV,West Nile virus,west_nile,human_case_area,1,2026-06-12,2026-07-16,Italy,Toscana,Firenze,Provincia di Firenze,43.769871,11.255576,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"ECDC/CNS WNV 2026 affected area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Firenze (Firenze); previous coordinates 43.7696,11.2558; match=province_centroid."
WNV-2026-IT-VR-001,ECDC_CNS_WNV,West Nile virus,west_nile,human_case_area,1,2026-06-19,2026-07-16,Italy,Veneto,Verona,Provincia di Verona,45.438496,10.992412,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"ECDC/CNS WNV 2026 affected area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Verona (Verona); previous coordinates 45.4384,10.9916; match=province_centroid."
WNV-2026-IT-SU-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-19,2026-07-16,Italy,Sardegna,Medio Campidano,Provincia del Medio Campidano,39.5316,8.7041,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,CNS WNV prevention measure area; province-level centroid/capital used for map display
WNV-2026-IT-FE-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-19,2026-07-16,Italy,Emilia-Romagna,Ferrara,Provincia di Ferrara,44.766764,11.827939,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Ferrara (Ferrara); previous coordinates 44.8353,11.6198; match=province_centroid."
WNV-2026-IT-RO-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-19,2026-07-16,Italy,Veneto,Rovigo,Provincia di Rovigo,44.977206,12.274190,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Rovigo (Rovigo); previous coordinates 45.0703,11.7904; match=province_centroid."
WNV-2026-IT-PV-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-25,2026-07-16,Italy,Lombardia,Pavia,Provincia di Pavia,45.036855,9.137825,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Pavia (Pavia); previous coordinates 45.1847,9.1582; match=province_centroid."
WNV-2026-IT-MN-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-30,2026-07-16,Italy,Lombardia,Mantova,Provincia di Mantova,45.169362,10.670616,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Mantova (Mantova); previous coordinates 45.1564,10.7914; match=province_centroid."
WNV-2026-IT-BS-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-30,2026-07-16,Italy,Lombardia,Brescia,Provincia di Brescia,45.779580,10.425873,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Brescia (Brescia); previous coordinates 45.5416,10.2118; match=province_centroid."
WNV-2026-IT-BG-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-06-30,2026-07-16,Italy,Lombardia,Bergamo,Provincia di Bergamo,45.756656,9.754219,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Bergamo (Bergamo); previous coordinates 45.6983,9.6773; match=province_centroid."
